model_url,downloads,organization,model_name,date
https://huggingface.co/KBLab/sentence-bert-swedish-cased,30669,KBLab,sentence-bert-swedish-cased,2026-04-21
https://huggingface.co/KBLab/bert-base-swedish-cased,5406,KBLab,bert-base-swedish-cased,2026-04-21
https://huggingface.co/KBLab/kb-whisper-tiny,1130,KBLab,kb-whisper-tiny,2026-04-21
https://huggingface.co/KBLab/kb-whisper-base,5897,KBLab,kb-whisper-base,2026-04-21
https://huggingface.co/KBLab/kb-whisper-small,7477,KBLab,kb-whisper-small,2026-04-21
https://huggingface.co/KBLab/kb-whisper-medium,1495,KBLab,kb-whisper-medium,2026-04-21
https://huggingface.co/KBLab/kb-whisper-large,30334,KBLab,kb-whisper-large,2026-04-21
https://huggingface.co/KBLab/wav2vec2-large-voxrex-swedish,150918,KBLab,wav2vec2-large-voxrex-swedish,2026-04-21
https://huggingface.co/KBLab/wav2vec2-large-voxpopuli-sv-swedish,285,KBLab,wav2vec2-large-voxpopuli-sv-swedish,2026-04-21
https://huggingface.co/KBLab/swedish-ocr-correction,2363,KBLab,swedish-ocr-correction,2026-04-21
https://huggingface.co/KBLab/megatron.bert-large.wordpiece-32k-pretok.25k-steps,4,KBLab,megatron.bert-large.wordpiece-32k-pretok.25k-steps,2026-04-21
https://huggingface.co/KBLab/megatron.bert-large.wordpiece-64k-pretok.25k-steps,2,KBLab,megatron.bert-large.wordpiece-64k-pretok.25k-steps,2026-04-21
https://huggingface.co/KBLab/megatron.bert-large.unigram-64k-pretok.25k-steps,8,KBLab,megatron.bert-large.unigram-64k-pretok.25k-steps,2026-04-21
https://huggingface.co/KBLab/megatron.bert-large.unigram-32k-pretok.25k-steps,2,KBLab,megatron.bert-large.unigram-32k-pretok.25k-steps,2026-04-21
https://huggingface.co/KBLab/megatron.bert-large.spe-bpe-32k-pretok.25k-steps,7,KBLab,megatron.bert-large.spe-bpe-32k-pretok.25k-steps,2026-04-21
https://huggingface.co/KBLab/megatron.bert-large.bpe-64k-no_pretok.25k-steps,5,KBLab,megatron.bert-large.bpe-64k-no_pretok.25k-steps,2026-04-21
https://huggingface.co/KBLab/megatron.bert-base.wordpiece-64k-pretok.25k-steps,7,KBLab,megatron.bert-base.wordpiece-64k-pretok.25k-steps,2026-04-21
https://huggingface.co/KBLab/megatron.bert-base.wordpiece-64k-no_pretok.25k-steps,6,KBLab,megatron.bert-base.wordpiece-64k-no_pretok.25k-steps,2026-04-21
https://huggingface.co/KBLab/megatron.bert-base.wordpiece-32k-no_pretok.25k-steps,9,KBLab,megatron.bert-base.wordpiece-32k-no_pretok.25k-steps,2026-04-21
https://huggingface.co/KBLab/megatron.bert-base.wordpiece-32k-pretok.25k-steps,6,KBLab,megatron.bert-base.wordpiece-32k-pretok.25k-steps,2026-04-21
https://huggingface.co/KBLab/megatron.bert-base.unigram-64k-pretok.25k-steps,18,KBLab,megatron.bert-base.unigram-64k-pretok.25k-steps,2026-04-21
https://huggingface.co/KBLab/megatron.bert-base.unigram-64k-no_pretok.25k-steps,206,KBLab,megatron.bert-base.unigram-64k-no_pretok.25k-steps,2026-04-21
https://huggingface.co/KBLab/megatron.bert-base.unigram-32k-pretok.25k-steps,8,KBLab,megatron.bert-base.unigram-32k-pretok.25k-steps,2026-04-21
https://huggingface.co/KBLab/megatron.bert-base.unigram-32k-no_pretok.25k-steps,20,KBLab,megatron.bert-base.unigram-32k-no_pretok.25k-steps,2026-04-21
https://huggingface.co/KBLab/megatron.bert-base.spe-bpe-64k-pretok.25k-steps,7,KBLab,megatron.bert-base.spe-bpe-64k-pretok.25k-steps,2026-04-21
https://huggingface.co/KBLab/megatron.bert-base.spe-bpe-64k-no_pretok.25k-steps,5,KBLab,megatron.bert-base.spe-bpe-64k-no_pretok.25k-steps,2026-04-21
https://huggingface.co/KBLab/megatron.bert-base.spe-bpe-32k-pretok.25k-steps,7,KBLab,megatron.bert-base.spe-bpe-32k-pretok.25k-steps,2026-04-21
https://huggingface.co/KBLab/megatron.bert-base.bpe-64k-no_pretok.25k-steps,6,KBLab,megatron.bert-base.bpe-64k-no_pretok.25k-steps,2026-04-21
https://huggingface.co/KBLab/megatron.bert-base.spe-bpe-32k-no_pretok.25k-steps,8,KBLab,megatron.bert-base.spe-bpe-32k-no_pretok.25k-steps,2026-04-21
https://huggingface.co/KBLab/megatron.bert-base.bpe-32k-no_pretok.25k-steps,7,KBLab,megatron.bert-base.bpe-32k-no_pretok.25k-steps,2026-04-21
https://huggingface.co/KBLab/megatron.bert-large.unigram-64k-pretok.500k-steps,13,KBLab,megatron.bert-large.unigram-64k-pretok.500k-steps,2026-04-21
https://huggingface.co/KBLab/wav2vec2-large-xlsr-53-swedish,6528,KBLab,wav2vec2-large-xlsr-53-swedish,2026-04-21
https://huggingface.co/KBLab/robust-swedish-sentiment-multiclass,7861,KBLab,robust-swedish-sentiment-multiclass,2026-04-21
https://huggingface.co/KBLab/megatron-bert-large-swedish-cased-165-zero-shot,21810,KBLab,megatron-bert-large-swedish-cased-165-zero-shot,2026-04-21
https://huggingface.co/KBLab/emotional-classification,97,KBLab,emotional-classification,2026-04-21
https://huggingface.co/KBLab/bert-base-swedish-cased-pos,21,KBLab,bert-base-swedish-cased-pos,2026-04-21
https://huggingface.co/KBLab/bart-base-swedish-cased,103,KBLab,bart-base-swedish-cased,2026-04-21
https://huggingface.co/KBLab/piper-tts-nst-swedish,7,KBLab,piper-tts-nst-swedish,2026-04-21
https://huggingface.co/KBLab/wav2vec2-large-voxrex,54,KBLab,wav2vec2-large-voxrex,2026-04-21
https://huggingface.co/KBLab/bert-base-swedish-lowermix-reallysimple-ner,5609,KBLab,bert-base-swedish-lowermix-reallysimple-ner,2026-04-21
https://huggingface.co/KBLab/bert-base-swedish-cased-new,352,KBLab,bert-base-swedish-cased-new,2026-04-21
https://huggingface.co/KBLab/megatron-bert-base-swedish-cased-125k,12,KBLab,megatron-bert-base-swedish-cased-125k,2026-04-21
https://huggingface.co/KBLab/megatron-bert-base-swedish-cased-600k,24,KBLab,megatron-bert-base-swedish-cased-600k,2026-04-21
https://huggingface.co/KBLab/bert-base-swedish-cased-neriob,10,KBLab,bert-base-swedish-cased-neriob,2026-04-21
https://huggingface.co/KBLab/bert-base-swedish-cased-ner,454,KBLab,bert-base-swedish-cased-ner,2026-04-21
https://huggingface.co/KBLab/bert-base-swedish-cased-squad-experimental,9,KBLab,bert-base-swedish-cased-squad-experimental,2026-04-21
https://huggingface.co/KBLab/megatron-bert-large-swedish-cased-165k,118,KBLab,megatron-bert-large-swedish-cased-165k,2026-04-21
https://huggingface.co/KBLab/whisper-small-rixvox,3,KBLab,whisper-small-rixvox,2026-04-21
https://huggingface.co/KBLab/whisper-tiny-rixvox,3,KBLab,whisper-tiny-rixvox,2026-04-21
https://huggingface.co/KBLab/bert-base-swedish-cased-reallysimple-ner,20,KBLab,bert-base-swedish-cased-reallysimple-ner,2026-04-21
https://huggingface.co/KBLab/albert-base-swedish-cased-alpha,13,KBLab,albert-base-swedish-cased-alpha,2026-04-21
https://huggingface.co/KBLab/megatron-bert-large-swedish-cased-110k,7,KBLab,megatron-bert-large-swedish-cased-110k,2026-04-21
https://huggingface.co/KBLab/asr-voxrex-bart-base,17,KBLab,asr-voxrex-bart-base,2026-04-21
https://huggingface.co/KBLab/swedish-spacy-pipeline,11,KBLab,swedish-spacy-pipeline,2026-04-21
https://huggingface.co/KBLab/roberta-base-swedish-cased,10,KBLab,roberta-base-swedish-cased,2026-04-21
https://huggingface.co/KBLab/wav2vec2-base-voxpopuli-sv-swedish,34,KBLab,wav2vec2-base-voxpopuli-sv-swedish,2026-04-21
https://huggingface.co/KBLab/bert-base-swedish-cased-alpha,110613,KBLab,bert-base-swedish-cased-alpha,2026-04-21
https://huggingface.co/KBLab/electra-base-swedish-cased-generator,7,KBLab,electra-base-swedish-cased-generator,2026-04-21
https://huggingface.co/KBLab/electra-base-swedish-cased-discriminator,7,KBLab,electra-base-swedish-cased-discriminator,2026-04-21
https://huggingface.co/KBLab/electra-small-swedish-cased-discriminator,20,KBLab,electra-small-swedish-cased-discriminator,2026-04-21
https://huggingface.co/KBLab/electra-small-swedish-cased-generator,11,KBLab,electra-small-swedish-cased-generator,2026-04-21
https://huggingface.co/KB/bert-base-swedish-cased-ner,3041,KB,bert-base-swedish-cased-ner,2026-04-21
https://huggingface.co/KB/bert-base-swedish-cased,16982,KB,bert-base-swedish-cased,2026-04-21
https://huggingface.co/KB/electra-small-swedish-cased-discriminator,9,KB,electra-small-swedish-cased-discriminator,2026-04-21
https://huggingface.co/KB/ALL-MODELS-MOVED-TO-KBLAB,0,KB,ALL-MODELS-MOVED-TO-KBLAB,2026-04-21
