model_url,downloads,organization,model_name,date
https://huggingface.co/KBLab/megatron-bert-large-swedish-cased-165-zero-shot,243,KBLab,megatron-bert-large-swedish-cased-165-zero-shot,2023-11-20
https://huggingface.co/KBLab/robust-swedish-sentiment-multiclass,1505,KBLab,robust-swedish-sentiment-multiclass,2023-11-20
https://huggingface.co/KBLab/wav2vec2-large-voxrex-swedish,769,KBLab,wav2vec2-large-voxrex-swedish,2023-11-20
https://huggingface.co/KBLab/bert-base-swedish-cased,661,KBLab,bert-base-swedish-cased,2023-11-20
https://huggingface.co/KBLab/sentence-bert-swedish-cased,1067,KBLab,sentence-bert-swedish-cased,2023-11-20
https://huggingface.co/KBLab/emotional-classification,27,KBLab,emotional-classification,2023-11-20
https://huggingface.co/KBLab/bert-base-swedish-cased-pos,312,KBLab,bert-base-swedish-cased-pos,2023-11-20
https://huggingface.co/KBLab/bart-base-swedish-cased,44,KBLab,bart-base-swedish-cased,2023-11-20
https://huggingface.co/KBLab/piper-tts-nst-swedish,1,KBLab,piper-tts-nst-swedish,2023-11-20
https://huggingface.co/KBLab/wav2vec2-large-voxrex,6,KBLab,wav2vec2-large-voxrex,2023-11-20
https://huggingface.co/KBLab/bert-base-swedish-lowermix-reallysimple-ner,769,KBLab,bert-base-swedish-lowermix-reallysimple-ner,2023-11-20
https://huggingface.co/KBLab/bert-base-swedish-cased-new,84,KBLab,bert-base-swedish-cased-new,2023-11-20
https://huggingface.co/KBLab/megatron-bert-base-swedish-cased-125k,4,KBLab,megatron-bert-base-swedish-cased-125k,2023-11-20
https://huggingface.co/KBLab/megatron-bert-base-swedish-cased-600k,12,KBLab,megatron-bert-base-swedish-cased-600k,2023-11-20
https://huggingface.co/KBLab/bert-base-swedish-cased-neriob,19,KBLab,bert-base-swedish-cased-neriob,2023-11-20
https://huggingface.co/KBLab/bert-base-swedish-cased-ner,187,KBLab,bert-base-swedish-cased-ner,2023-11-20
https://huggingface.co/KBLab/bert-base-swedish-cased-squad-experimental,280,KBLab,bert-base-swedish-cased-squad-experimental,2023-11-20
https://huggingface.co/KBLab/megatron-bert-large-swedish-cased-165k,12,KBLab,megatron-bert-large-swedish-cased-165k,2023-11-20
https://huggingface.co/KBLab/whisper-large-rixvox,16,KBLab,whisper-large-rixvox,2023-11-20
https://huggingface.co/KBLab/whisper-small-rixvox,1,KBLab,whisper-small-rixvox,2023-11-20
https://huggingface.co/KBLab/whisper-tiny-rixvox,1,KBLab,whisper-tiny-rixvox,2023-11-20
https://huggingface.co/KBLab/bert-base-swedish-cased-reallysimple-ner,304,KBLab,bert-base-swedish-cased-reallysimple-ner,2023-11-20
https://huggingface.co/KBLab/albert-base-swedish-cased-alpha,71,KBLab,albert-base-swedish-cased-alpha,2023-11-20
https://huggingface.co/KBLab/megatron-bert-large-swedish-cased-110k,38,KBLab,megatron-bert-large-swedish-cased-110k,2023-11-20
https://huggingface.co/KBLab/asr-voxrex-bart-base,2,KBLab,asr-voxrex-bart-base,2023-11-20
https://huggingface.co/KBLab/swedish-spacy-pipeline,5,KBLab,swedish-spacy-pipeline,2023-11-20
https://huggingface.co/KBLab/wav2vec2-large-voxpopuli-sv-swedish,26,KBLab,wav2vec2-large-voxpopuli-sv-swedish,2023-11-20
https://huggingface.co/KBLab/roberta-base-swedish-cased,2,KBLab,roberta-base-swedish-cased,2023-11-20
https://huggingface.co/KBLab/wav2vec2-large-xlsr-53-swedish,586,KBLab,wav2vec2-large-xlsr-53-swedish,2023-11-20
https://huggingface.co/KBLab/wav2vec2-base-voxpopuli-sv-swedish,4,KBLab,wav2vec2-base-voxpopuli-sv-swedish,2023-11-20
https://huggingface.co/KBLab/bert-base-swedish-cased-alpha,4,KBLab,bert-base-swedish-cased-alpha,2023-11-20
https://huggingface.co/KBLab/electra-base-swedish-cased-generator,12,KBLab,electra-base-swedish-cased-generator,2023-11-20
https://huggingface.co/KBLab/electra-base-swedish-cased-discriminator,4,KBLab,electra-base-swedish-cased-discriminator,2023-11-20
https://huggingface.co/KBLab/electra-small-swedish-cased-discriminator,2,KBLab,electra-small-swedish-cased-discriminator,2023-11-20
https://huggingface.co/KBLab/electra-small-swedish-cased-generator,131,KBLab,electra-small-swedish-cased-generator,2023-11-20
https://huggingface.co/KB/electra-small-swedish-cased-discriminator,1,KB,electra-small-swedish-cased-discriminator,2023-11-20
https://huggingface.co/KB/bert-base-swedish-cased-ner,9962,KB,bert-base-swedish-cased-ner,2023-11-20
https://huggingface.co/KB/bert-base-swedish-cased,5964,KB,bert-base-swedish-cased,2023-11-20
https://huggingface.co/KB/ALL-MODELS-MOVED-TO-KBLAB,0,KB,ALL-MODELS-MOVED-TO-KBLAB,2023-11-20
