model_url,downloads,organization,model_name,date
https://huggingface.co/KBLab/wav2vec2-large-voxrex-swedish,53597,KBLab,wav2vec2-large-voxrex-swedish,2024-12-22
https://huggingface.co/KBLab/robust-swedish-sentiment-multiclass,46387,KBLab,robust-swedish-sentiment-multiclass,2024-12-22
https://huggingface.co/KBLab/wav2vec2-large-xlsr-53-swedish,30187,KBLab,wav2vec2-large-xlsr-53-swedish,2024-12-22
https://huggingface.co/KBLab/sentence-bert-swedish-cased,12598,KBLab,sentence-bert-swedish-cased,2024-12-22
https://huggingface.co/KBLab/bert-base-swedish-cased,2367,KBLab,bert-base-swedish-cased,2024-12-22
https://huggingface.co/KBLab/bert-base-swedish-cased-new,166,KBLab,bert-base-swedish-cased-new,2024-12-22
https://huggingface.co/KBLab/bert-base-swedish-cased-ner,157,KBLab,bert-base-swedish-cased-ner,2024-12-22
https://huggingface.co/KBLab/megatron-bert-large-swedish-cased-165-zero-shot,128,KBLab,megatron-bert-large-swedish-cased-165-zero-shot,2024-12-22
https://huggingface.co/KBLab/kb-whisper-medium-beta,111,KBLab,kb-whisper-medium-beta,2024-12-22
https://huggingface.co/KBLab/bart-base-swedish-cased,79,KBLab,bart-base-swedish-cased,2024-12-22
https://huggingface.co/KBLab/bert-base-swedish-cased-pos,75,KBLab,bert-base-swedish-cased-pos,2024-12-22
https://huggingface.co/KBLab/bert-base-swedish-cased-reallysimple-ner,70,KBLab,bert-base-swedish-cased-reallysimple-ner,2024-12-22
https://huggingface.co/KBLab/megatron-bert-large-swedish-cased-165k,70,KBLab,megatron-bert-large-swedish-cased-165k,2024-12-22
https://huggingface.co/KBLab/bert-base-swedish-lowermix-reallysimple-ner,52,KBLab,bert-base-swedish-lowermix-reallysimple-ner,2024-12-22
https://huggingface.co/KBLab/whisper-large-rixvox,47,KBLab,whisper-large-rixvox,2024-12-22
https://huggingface.co/KBLab/albert-base-swedish-cased-alpha,45,KBLab,albert-base-swedish-cased-alpha,2024-12-22
https://huggingface.co/KBLab/megatron-bert-base-swedish-cased-600k,40,KBLab,megatron-bert-base-swedish-cased-600k,2024-12-22
https://huggingface.co/KBLab/asr-voxrex-bart-base,36,KBLab,asr-voxrex-bart-base,2024-12-22
https://huggingface.co/KBLab/megatron-bert-large-swedish-cased-110k,36,KBLab,megatron-bert-large-swedish-cased-110k,2024-12-22
https://huggingface.co/KBLab/megatron-bert-base-swedish-cased-125k,35,KBLab,megatron-bert-base-swedish-cased-125k,2024-12-22
https://huggingface.co/KBLab/kb-whisper-small-beta,32,KBLab,kb-whisper-small-beta,2024-12-22
https://huggingface.co/KBLab/bert-base-swedish-cased-neriob,25,KBLab,bert-base-swedish-cased-neriob,2024-12-22
https://huggingface.co/KBLab/megatron.bert-large.unigram-32k-pretok.25k-steps,24,KBLab,megatron.bert-large.unigram-32k-pretok.25k-steps,2024-12-22
https://huggingface.co/KBLab/wav2vec2-large-voxrex,23,KBLab,wav2vec2-large-voxrex,2024-12-22
https://huggingface.co/KBLab/emotional-classification,22,KBLab,emotional-classification,2024-12-22
https://huggingface.co/KBLab/bert-base-swedish-cased-squad-experimental,20,KBLab,bert-base-swedish-cased-squad-experimental,2024-12-22
https://huggingface.co/KBLab/megatron.bert-large.unigram-64k-pretok.25k-steps,20,KBLab,megatron.bert-large.unigram-64k-pretok.25k-steps,2024-12-22
https://huggingface.co/KBLab/wav2vec2-base-voxpopuli-sv-swedish,18,KBLab,wav2vec2-base-voxpopuli-sv-swedish,2024-12-22
https://huggingface.co/KBLab/megatron.bert-base.spe-bpe-64k-no_pretok.25k-steps,18,KBLab,megatron.bert-base.spe-bpe-64k-no_pretok.25k-steps,2024-12-22
https://huggingface.co/KBLab/megatron.bert-base.unigram-32k-no_pretok.25k-steps,18,KBLab,megatron.bert-base.unigram-32k-no_pretok.25k-steps,2024-12-22
https://huggingface.co/KBLab/megatron.bert-base.wordpiece-32k-no_pretok.25k-steps,17,KBLab,megatron.bert-base.wordpiece-32k-no_pretok.25k-steps,2024-12-22
https://huggingface.co/KBLab/megatron.bert-base.wordpiece-64k-no_pretok.25k-steps,17,KBLab,megatron.bert-base.wordpiece-64k-no_pretok.25k-steps,2024-12-22
https://huggingface.co/KBLab/megatron.bert-large.bpe-64k-no_pretok.25k-steps,17,KBLab,megatron.bert-large.bpe-64k-no_pretok.25k-steps,2024-12-22
https://huggingface.co/KBLab/megatron.bert-large.wordpiece-32k-pretok.25k-steps,17,KBLab,megatron.bert-large.wordpiece-32k-pretok.25k-steps,2024-12-22
https://huggingface.co/KBLab/megatron.bert-large.wordpiece-64k-pretok.25k-steps,17,KBLab,megatron.bert-large.wordpiece-64k-pretok.25k-steps,2024-12-22
https://huggingface.co/KBLab/megatron.bert-base.bpe-64k-no_pretok.25k-steps,16,KBLab,megatron.bert-base.bpe-64k-no_pretok.25k-steps,2024-12-22
https://huggingface.co/KBLab/megatron.bert-base.spe-bpe-32k-no_pretok.25k-steps,16,KBLab,megatron.bert-base.spe-bpe-32k-no_pretok.25k-steps,2024-12-22
https://huggingface.co/KBLab/megatron.bert-base.spe-bpe-32k-pretok.25k-steps,16,KBLab,megatron.bert-base.spe-bpe-32k-pretok.25k-steps,2024-12-22
https://huggingface.co/KBLab/megatron.bert-base.unigram-32k-pretok.25k-steps,16,KBLab,megatron.bert-base.unigram-32k-pretok.25k-steps,2024-12-22
