model_url,downloads,organization,model_name,date
https://huggingface.co/KBLab/megatron.bert-large.wordpiece-32k-pretok.25k-steps,6,KBLab,megatron.bert-large.wordpiece-32k-pretok.25k-steps,2024-09-19
https://huggingface.co/KBLab/megatron.bert-large.wordpiece-64k-pretok.25k-steps,5,KBLab,megatron.bert-large.wordpiece-64k-pretok.25k-steps,2024-09-19
https://huggingface.co/KBLab/megatron.bert-large.unigram-64k-pretok.25k-steps,7,KBLab,megatron.bert-large.unigram-64k-pretok.25k-steps,2024-09-19
https://huggingface.co/KBLab/megatron.bert-large.unigram-32k-pretok.25k-steps,5,KBLab,megatron.bert-large.unigram-32k-pretok.25k-steps,2024-09-19
https://huggingface.co/KBLab/megatron.bert-large.spe-bpe-32k-pretok.25k-steps,7,KBLab,megatron.bert-large.spe-bpe-32k-pretok.25k-steps,2024-09-19
https://huggingface.co/KBLab/megatron.bert-large.bpe-64k-no_pretok.25k-steps,6,KBLab,megatron.bert-large.bpe-64k-no_pretok.25k-steps,2024-09-19
https://huggingface.co/KBLab/megatron.bert-base.wordpiece-64k-pretok.25k-steps,13,KBLab,megatron.bert-base.wordpiece-64k-pretok.25k-steps,2024-09-19
https://huggingface.co/KBLab/megatron.bert-base.wordpiece-64k-no_pretok.25k-steps,6,KBLab,megatron.bert-base.wordpiece-64k-no_pretok.25k-steps,2024-09-19
https://huggingface.co/KBLab/megatron.bert-base.wordpiece-32k-pretok.25k-steps,5,KBLab,megatron.bert-base.wordpiece-32k-pretok.25k-steps,2024-09-19
https://huggingface.co/KBLab/megatron.bert-base.wordpiece-32k-no_pretok.25k-steps,4,KBLab,megatron.bert-base.wordpiece-32k-no_pretok.25k-steps,2024-09-19
https://huggingface.co/KBLab/megatron.bert-base.unigram-64k-pretok.25k-steps,4,KBLab,megatron.bert-base.unigram-64k-pretok.25k-steps,2024-09-19
https://huggingface.co/KBLab/megatron.bert-base.unigram-64k-no_pretok.25k-steps,4,KBLab,megatron.bert-base.unigram-64k-no_pretok.25k-steps,2024-09-19
https://huggingface.co/KBLab/megatron.bert-base.unigram-32k-pretok.25k-steps,3,KBLab,megatron.bert-base.unigram-32k-pretok.25k-steps,2024-09-19
https://huggingface.co/KBLab/megatron.bert-base.unigram-32k-no_pretok.25k-steps,4,KBLab,megatron.bert-base.unigram-32k-no_pretok.25k-steps,2024-09-19
https://huggingface.co/KBLab/megatron.bert-base.spe-bpe-64k-pretok.25k-steps,5,KBLab,megatron.bert-base.spe-bpe-64k-pretok.25k-steps,2024-09-19
https://huggingface.co/KBLab/megatron.bert-base.spe-bpe-64k-no_pretok.25k-steps,4,KBLab,megatron.bert-base.spe-bpe-64k-no_pretok.25k-steps,2024-09-19
https://huggingface.co/KBLab/megatron.bert-base.spe-bpe-32k-pretok.25k-steps,4,KBLab,megatron.bert-base.spe-bpe-32k-pretok.25k-steps,2024-09-19
https://huggingface.co/KBLab/megatron.bert-base.bpe-64k-no_pretok.25k-steps,4,KBLab,megatron.bert-base.bpe-64k-no_pretok.25k-steps,2024-09-19
https://huggingface.co/KBLab/megatron.bert-base.spe-bpe-32k-no_pretok.25k-steps,4,KBLab,megatron.bert-base.spe-bpe-32k-no_pretok.25k-steps,2024-09-19
https://huggingface.co/KBLab/megatron.bert-base.bpe-32k-no_pretok.25k-steps,5,KBLab,megatron.bert-base.bpe-32k-no_pretok.25k-steps,2024-09-19
https://huggingface.co/KBLab/megatron.bert-large.unigram-64k-pretok.500k-steps,5,KBLab,megatron.bert-large.unigram-64k-pretok.500k-steps,2024-09-19
https://huggingface.co/KBLab/wav2vec2-large-xlsr-53-swedish,19055,KBLab,wav2vec2-large-xlsr-53-swedish,2024-09-19
https://huggingface.co/KBLab/robust-swedish-sentiment-multiclass,10749,KBLab,robust-swedish-sentiment-multiclass,2024-09-19
https://huggingface.co/KBLab/wav2vec2-large-voxrex-swedish,7507,KBLab,wav2vec2-large-voxrex-swedish,2024-09-19
https://huggingface.co/KBLab/megatron-bert-large-swedish-cased-165-zero-shot,40,KBLab,megatron-bert-large-swedish-cased-165-zero-shot,2024-09-19
https://huggingface.co/KBLab/bert-base-swedish-cased,1586,KBLab,bert-base-swedish-cased,2024-09-19
https://huggingface.co/KBLab/sentence-bert-swedish-cased,23133,KBLab,sentence-bert-swedish-cased,2024-09-19
https://huggingface.co/KBLab/emotional-classification,597,KBLab,emotional-classification,2024-09-19
