model_url,downloads,organization,model_name,date
https://huggingface.co/KBLab/bert-base-swedish-cased-ner,666,KBLab,bert-base-swedish-cased-ner,2022-06-20
https://huggingface.co/KBLab/wav2vec2-large-voxrex,102,KBLab,wav2vec2-large-voxrex,2022-06-20
https://huggingface.co/KBLab/wav2vec2-large-voxrex-swedish,1277,KBLab,wav2vec2-large-voxrex-swedish,2022-06-20
https://huggingface.co/KBLab/megatron-bert-large-swedish-cased-110k,4,KBLab,megatron-bert-large-swedish-cased-110k,2022-06-20
https://huggingface.co/KBLab/bart-base-swedish-cased,32,KBLab,bart-base-swedish-cased,2022-06-20
https://huggingface.co/KBLab/sentence-bert-swedish-cased,721,KBLab,sentence-bert-swedish-cased,2022-06-20
https://huggingface.co/KBLab/megatron-bert-large-swedish-cased-165k,40,KBLab,megatron-bert-large-swedish-cased-165k,2022-06-20
https://huggingface.co/KBLab/megatron-bert-base-swedish-cased-125k,2,KBLab,megatron-bert-base-swedish-cased-125k,2022-06-20
https://huggingface.co/KBLab/megatron-bert-base-swedish-cased-600k,30,KBLab,megatron-bert-base-swedish-cased-600k,2022-06-20
https://huggingface.co/KBLab/bert-base-swedish-cased-new,786,KBLab,bert-base-swedish-cased-new,2022-06-20
https://huggingface.co/KBLab/bert-base-swedish-lowermix-reallysimple-ner,901,KBLab,bert-base-swedish-lowermix-reallysimple-ner,2022-06-20
https://huggingface.co/KBLab/bert-base-swedish-cased-reallysimple-ner,11,KBLab,bert-base-swedish-cased-reallysimple-ner,2022-06-20
https://huggingface.co/KBLab/asr-voxrex-bart-base,2,KBLab,asr-voxrex-bart-base,2022-06-20
https://huggingface.co/KBLab/swedish-spacy-pipeline,5,KBLab,swedish-spacy-pipeline,2022-06-20
https://huggingface.co/KBLab/wav2vec2-large-voxpopuli-sv-swedish,24,KBLab,wav2vec2-large-voxpopuli-sv-swedish,2022-06-20
https://huggingface.co/KBLab/roberta-base-swedish-cased,78,KBLab,roberta-base-swedish-cased,2022-06-20
https://huggingface.co/KBLab/wav2vec2-large-xlsr-53-swedish,259,KBLab,wav2vec2-large-xlsr-53-swedish,2022-06-20
https://huggingface.co/KBLab/wav2vec2-base-voxpopuli-sv-swedish,1,KBLab,wav2vec2-base-voxpopuli-sv-swedish,2022-06-20
https://huggingface.co/KBLab/bert-base-swedish-cased,5710,KBLab,bert-base-swedish-cased,2022-06-20
https://huggingface.co/KBLab/bert-base-swedish-cased-squad-experimental,40,KBLab,bert-base-swedish-cased-squad-experimental,2022-06-20
https://huggingface.co/KBLab/bert-base-swedish-cased-pos,168,KBLab,bert-base-swedish-cased-pos,2022-06-20
https://huggingface.co/KBLab/bert-base-swedish-cased-neriob,4,KBLab,bert-base-swedish-cased-neriob,2022-06-20
https://huggingface.co/KBLab/bert-base-swedish-cased-alpha,8,KBLab,bert-base-swedish-cased-alpha,2022-06-20
https://huggingface.co/KBLab/electra-base-swedish-cased-generator,2,KBLab,electra-base-swedish-cased-generator,2022-06-20
https://huggingface.co/KBLab/electra-base-swedish-cased-discriminator,2,KBLab,electra-base-swedish-cased-discriminator,2022-06-20
https://huggingface.co/KBLab/albert-base-swedish-cased-alpha,52,KBLab,albert-base-swedish-cased-alpha,2022-06-20
https://huggingface.co/KBLab/electra-small-swedish-cased-discriminator,2,KBLab,electra-small-swedish-cased-discriminator,2022-06-20
https://huggingface.co/KBLab/electra-small-swedish-cased-generator,4,KBLab,electra-small-swedish-cased-generator,2022-06-20
https://huggingface.co/KB/electra-small-swedish-cased-discriminator,8,KB,electra-small-swedish-cased-discriminator,2022-06-20
https://huggingface.co/KB/bert-base-swedish-cased-ner,11821,KB,bert-base-swedish-cased-ner,2022-06-20
https://huggingface.co/KB/bert-base-swedish-cased,33092,KB,bert-base-swedish-cased,2022-06-20
https://huggingface.co/KB/ALL-MODELS-MOVED-TO-KBLAB,0,KB,ALL-MODELS-MOVED-TO-KBLAB,2022-06-20
