model_url,downloads,organization,model_name,date
https://huggingface.co/KBLab/bert-base-swedish-cased-neriob,8,KBLab,bert-base-swedish-cased-neriob,2023-03-20
https://huggingface.co/KBLab/bert-base-swedish-cased-ner,3010,KBLab,bert-base-swedish-cased-ner,2023-03-20
https://huggingface.co/KBLab/bert-base-swedish-cased-squad-experimental,643,KBLab,bert-base-swedish-cased-squad-experimental,2023-03-20
https://huggingface.co/KBLab/megatron-bert-large-swedish-cased-165k,67,KBLab,megatron-bert-large-swedish-cased-165k,2023-03-20
https://huggingface.co/KBLab/megatron-bert-large-swedish-cased-165-zero-shot,63,KBLab,megatron-bert-large-swedish-cased-165-zero-shot,2023-03-20
https://huggingface.co/KBLab/whisper-large-rixvox,113,KBLab,whisper-large-rixvox,2023-03-20
https://huggingface.co/KBLab/whisper-small-rixvox,3,KBLab,whisper-small-rixvox,2023-03-20
https://huggingface.co/KBLab/whisper-tiny-rixvox,9,KBLab,whisper-tiny-rixvox,2023-03-20
https://huggingface.co/KBLab/sentence-bert-swedish-cased,3499,KBLab,sentence-bert-swedish-cased,2023-03-20
https://huggingface.co/KBLab/bert-base-swedish-lowermix-reallysimple-ner,2485,KBLab,bert-base-swedish-lowermix-reallysimple-ner,2023-03-20
https://huggingface.co/KBLab/bert-base-swedish-cased-reallysimple-ner,401,KBLab,bert-base-swedish-cased-reallysimple-ner,2023-03-20
https://huggingface.co/KBLab/bert-base-swedish-cased,3327,KBLab,bert-base-swedish-cased,2023-03-20
https://huggingface.co/KBLab/albert-base-swedish-cased-alpha,75,KBLab,albert-base-swedish-cased-alpha,2023-03-20
https://huggingface.co/KBLab/wav2vec2-large-voxrex,11,KBLab,wav2vec2-large-voxrex,2023-03-20
https://huggingface.co/KBLab/wav2vec2-large-voxrex-swedish,732,KBLab,wav2vec2-large-voxrex-swedish,2023-03-20
https://huggingface.co/KBLab/megatron-bert-large-swedish-cased-110k,23,KBLab,megatron-bert-large-swedish-cased-110k,2023-03-20
https://huggingface.co/KBLab/bart-base-swedish-cased,70,KBLab,bart-base-swedish-cased,2023-03-20
https://huggingface.co/KBLab/megatron-bert-base-swedish-cased-125k,19,KBLab,megatron-bert-base-swedish-cased-125k,2023-03-20
https://huggingface.co/KBLab/megatron-bert-base-swedish-cased-600k,49,KBLab,megatron-bert-base-swedish-cased-600k,2023-03-20
https://huggingface.co/KBLab/bert-base-swedish-cased-new,352,KBLab,bert-base-swedish-cased-new,2023-03-20
https://huggingface.co/KBLab/asr-voxrex-bart-base,15,KBLab,asr-voxrex-bart-base,2023-03-20
https://huggingface.co/KBLab/swedish-spacy-pipeline,90,KBLab,swedish-spacy-pipeline,2023-03-20
https://huggingface.co/KBLab/wav2vec2-large-voxpopuli-sv-swedish,10,KBLab,wav2vec2-large-voxpopuli-sv-swedish,2023-03-20
https://huggingface.co/KBLab/roberta-base-swedish-cased,3,KBLab,roberta-base-swedish-cased,2023-03-20
https://huggingface.co/KBLab/wav2vec2-large-xlsr-53-swedish,76,KBLab,wav2vec2-large-xlsr-53-swedish,2023-03-20
https://huggingface.co/KBLab/wav2vec2-base-voxpopuli-sv-swedish,12,KBLab,wav2vec2-base-voxpopuli-sv-swedish,2023-03-20
https://huggingface.co/KBLab/bert-base-swedish-cased-pos,300,KBLab,bert-base-swedish-cased-pos,2023-03-20
https://huggingface.co/KBLab/bert-base-swedish-cased-alpha,6,KBLab,bert-base-swedish-cased-alpha,2023-03-20
https://huggingface.co/KBLab/electra-base-swedish-cased-generator,14,KBLab,electra-base-swedish-cased-generator,2023-03-20
https://huggingface.co/KBLab/electra-base-swedish-cased-discriminator,0,KBLab,electra-base-swedish-cased-discriminator,2023-03-20
https://huggingface.co/KBLab/electra-small-swedish-cased-discriminator,0,KBLab,electra-small-swedish-cased-discriminator,2023-03-20
https://huggingface.co/KBLab/electra-small-swedish-cased-generator,3,KBLab,electra-small-swedish-cased-generator,2023-03-20
https://huggingface.co/KB/electra-small-swedish-cased-discriminator,1,KB,electra-small-swedish-cased-discriminator,2023-03-20
https://huggingface.co/KB/bert-base-swedish-cased-ner,11498,KB,bert-base-swedish-cased-ner,2023-03-20
https://huggingface.co/KB/bert-base-swedish-cased,25537,KB,bert-base-swedish-cased,2023-03-20
https://huggingface.co/KB/ALL-MODELS-MOVED-TO-KBLAB,0,KB,ALL-MODELS-MOVED-TO-KBLAB,2023-03-20
